Sunday,01,March,2020,18:31:20:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D06,

,Group A:,'011,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Idle speed,Engine load,Road speed,Consumption,,,,,,,,,,
,23.47,4400,3.05,137.0,11.90,,,,,,,,,,
,23.73,4320,1.10,139.5,0.00,,,,,,,,,,
,24.00,4000,1.85,137.0,3.92,,,,,,,,,,
,24.26,3640,5.35,138.2,24.36,,,,,,,,,,
,24.53,3720,6.70,139.5,28.98,,,,,,,,,,
,24.79,3720,6.65,139.5,28.00,,,,,,,,,,
,25.06,3760,6.70,140.8,29.82,,,,,,,,,,
,25.33,3760,6.80,140.8,30.80,,,,,,,,,,
,25.59,3800,6.65,142.1,29.68,,,,,,,,,,
,25.85,3600,2.15,139.5,10.64,,,,,,,,,,
,26.10,3720,1.05,140.8,2.80,,,,,,,,,,
,26.36,3720,0.70,139.5,0.00,,,,,,,,,,
,26.62,3680,0.60,138.2,0.00,,,,,,,,,,
,26.89,3640,0.55,135.7,0.00,,,,,,,,,,
,27.15,3560,0.50,134.4,0.00,,,,,,,,,,
,27.39,3480,0.50,131.8,0.00,,,,,,,,,,
,27.65,3400,0.55,128.0,0.00,,,,,,,,,,
,27.91,3320,0.50,125.4,0.00,,,,,,,,,,
,28.16,3240,0.50,121.6,0.00,,,,,,,,,,
,28.44,3120,0.55,119.0,0.00,,,,,,,,,,
,28.70,3080,0.50,116.5,0.00,,,,,,,,,,
