Sunday,01,March,2020,18:12:30:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D06,

,Group A:,'002,,,,Group B:,'025,,,,Group C:, Not Running
,,Idle speed,Engine load,Inj. period,Air mass in,,Spec. load,Load correc.,Actual load,Valve cycle,,,,,
,7.72,2840,6.55,14.02,59.79,7.99,6.95,6.95,6.60,61.7,,,,,
,8.25,3000,6.55,14.08,62.78,8.51,6.90,6.85,6.60,61.7,,,,,
,8.76,3120,6.65,14.21,66.11,9.02,6.90,6.85,6.75,61.7,,,,,
,9.28,3240,6.80,15.10,70.76,9.55,6.90,6.85,6.85,61.7,,,,,
,9.81,3400,6.85,14.72,74.51,10.08,6.90,6.85,6.90,60.2,,,,,
,10.34,3560,6.90,14.85,78.19,10.59,6.90,6.85,6.75,60.5,,,,,
,10.86,3680,6.80,14.78,80.21,11.13,6.90,6.85,6.85,61.3,,,,,
,11.39,3840,6.80,14.85,83.06,11.65,6.90,6.85,6.90,62.5,,,,,
,11.90,3960,6.85,14.98,86.32,12.16,6.95,6.85,6.80,64.1,,,,,
,12.42,4080,6.85,15.17,89.51,12.67,6.95,6.90,6.95,64.8,,,,,
,12.94,4240,6.90,15.30,93.12,13.20,6.95,6.90,6.90,64.8,,,,,
,13.47,4360,6.90,15.49,96.04,13.74,6.95,6.90,6.95,65.6,,,,,
,14.00,4480,7.00,15.62,100.07,14.26,6.95,6.90,7.00,64.5,,,,,
,14.52,4600,6.90,15.36,101.11,14.78,7.00,6.95,6.95,65.2,,,,,
,15.05,4720,7.05,16.00,106.04,15.31,7.00,6.95,6.95,65.2,,,,,
,15.57,4840,6.95,15.68,107.64,15.83,7.00,6.95,7.10,65.6,,,,,
,16.09,4960,7.10,16.26,111.87,16.34,7.00,6.95,7.00,64.5,,,,,
,16.59,5040,7.00,16.19,113.12,16.86,7.00,6.95,6.90,63.7,,,,,
,17.12,5160,6.95,16.13,114.23,17.38,6.95,6.90,7.05,63.7,,,,,
,17.64,5280,7.00,16.32,117.84,17.91,6.90,6.90,6.90,62.5,,,,,
,18.17,5360,6.90,16.32,117.64,18.44,6.90,6.85,6.85,62.5,,,,,
,18.70,5480,6.90,16.32,120.00,18.96,6.90,6.85,6.90,60.9,,,,,
,19.22,5560,6.85,16.32,120.90,19.49,6.80,6.80,6.80,60.9,,,,,
,19.75,5640,6.80,16.32,122.22,20.01,6.75,6.75,6.75,59.8,,,,,
,20.26,5720,6.85,16.32,125.76,20.52,6.70,6.65,6.80,57.8,,,,,
,20.78,5840,6.75,16.32,125.42,21.05,6.65,6.60,6.70,55.9,,,,,
,21.31,5920,6.65,16.32,125.42,21.57,6.60,6.55,6.60,54.3,,,,,
,21.82,5960,6.55,16.32,125.14,22.08,6.50,6.50,6.50,52.7,,,,,
,22.34,6040,6.50,16.32,124.79,22.60,6.45,6.45,6.45,51.2,,,,,
,22.86,6080,6.40,16.32,124.44,23.12,6.40,6.40,6.40,50.8,,,,,
,23.37,6200,6.35,16.32,125.62,23.62,6.40,6.35,6.35,50.4,,,,,
,23.87,6240,6.35,16.32,126.67,24.12,6.30,6.30,6.30,50.0,,,,,
,24.38,6280,6.30,16.32,125.90,24.63,6.30,6.25,6.30,49.2,,,,,
,24.89,6320,6.25,16.32,126.32,25.15,6.30,6.25,6.25,49.6,,,,,
,25.40,6480,1.55,0.90,32.50,25.65,2.90,6.25,0.80,0.0,,,,,
,25.91,6280,0.70,1.34,14.09,26.17,2.90,6.25,0.65,0.0,,,,,
,26.44,6160,0.65,1.41,13.40,26.70,3.00,6.25,0.65,0.0,,,,,
,26.95,6080,0.65,1.41,12.98,27.22,3.00,6.25,0.65,0.0,,,,,
,27.49,5960,0.65,1.41,12.57,27.75,3.05,6.25,0.65,0.0,,,,,
,28.01,5920,0.65,1.41,12.29,28.27,3.10,6.25,0.65,0.0,,,,,
,28.51,5840,0.65,1.34,12.08,28.79,3.15,6.25,0.65,0.0,,,,,
,29.05,5720,0.65,1.34,11.87,29.32,3.15,6.25,0.65,0.0,,,,,
,29.58,5640,0.65,1.34,11.67,29.83,3.20,6.25,0.65,0.0,,,,,
,30.09,5560,0.60,1.28,11.39,30.34,3.20,6.25,0.60,0.0,,,,,
,30.59,5520,0.60,1.28,11.25,30.84,3.25,6.25,0.60,0.0,,,,,
,31.09,5400,0.60,1.28,10.97,31.36,3.30,6.25,0.60,0.0,,,,,
,31.62,5360,0.60,1.28,10.69,31.87,3.30,6.25,0.60,0.0,,,,,
,32.13,5240,0.60,1.22,10.48,32.39,3.40,6.25,0.60,0.0,,,,,
,32.66,5200,0.60,1.28,10.28,32.92,3.40,6.25,0.60,0.0,,,,,
,33.17,5120,0.60,1.28,10.07,33.41,3.45,6.25,0.60,0.0,,,,,
,33.67,5040,0.60,1.22,9.79,33.93,3.50,6.25,0.60,0.0,,,,,
,34.18,4960,0.60,1.22,9.58,34.43,3.50,6.25,0.60,0.0,,,,,
,34.70,4880,0.60,1.15,9.37,34.95,3.55,6.25,0.60,0.0,,,,,
,35.21,4840,0.55,1.15,9.17,35.47,3.60,6.25,0.60,0.0,,,,,
,35.73,4760,0.60,1.15,9.09,35.99,3.60,6.25,0.60,0.0,,,,,
,36.25,4720,0.55,1.15,8.82,36.52,3.65,6.25,0.55,0.0,,,,,
,36.78,4600,0.55,1.09,8.68,37.04,3.70,6.25,0.55,0.0,,,,,
,37.30,4560,0.55,1.15,8.61,37.56,3.70,6.25,0.55,0.0,,,,,
,37.83,4480,0.55,1.15,8.47,38.08,3.75,6.25,0.55,0.0,,,,,
,38.33,4440,0.55,1.15,8.19,38.60,3.80,6.25,0.55,0.0,,,,,
,38.87,4360,0.55,1.15,8.19,39.13,3.80,6.25,0.55,0.0,,,,,
,39.39,4320,0.55,1.15,7.92,39.65,3.85,6.25,0.55,0.0,,,,,
,39.91,4240,0.55,1.15,7.92,40.17,3.90,6.25,0.55,0.0,,,,,
,40.42,4200,0.55,1.15,7.78,40.67,3.95,6.25,0.55,0.0,,,,,
,40.91,4120,0.55,1.09,7.57,41.18,3.95,6.25,0.55,0.0,,,,,
,41.43,4080,0.55,1.15,7.64,41.71,4.00,6.25,0.55,0.0,,,,,
,41.97,4000,0.55,1.15,7.36,42.23,4.05,6.25,0.55,0.0,,,,,
,42.49,3960,0.55,1.15,7.15,42.75,4.05,6.25,0.55,0.0,,,,,
,43.00,3920,0.55,1.15,7.08,43.26,4.10,6.25,0.55,0.0,,,,,
,43.53,3840,0.55,1.09,6.94,43.79,4.15,6.25,0.55,0.0,,,,,
,44.04,3800,0.55,1.09,6.81,44.31,4.20,6.25,0.55,0.0,,,,,
,44.57,3760,0.55,1.09,6.67,44.85,4.20,6.25,0.55,0.0,,,,,
,45.11,3680,0.55,1.09,6.53,45.38,4.25,6.25,0.55,0.0,,,,,
,45.63,3640,0.55,1.09,6.46,45.88,4.30,6.25,0.55,0.0,,,,,
,46.13,3600,0.55,1.09,6.39,46.39,4.30,6.25,0.55,0.0,,,,,
,46.65,3560,0.55,1.09,6.18,46.92,4.35,6.25,0.55,0.0,,,,,
,47.19,3480,0.55,1.09,6.11,47.45,4.35,6.25,0.55,0.0,,,,,
,47.72,3440,0.55,1.09,6.04,47.98,4.40,6.25,0.55,0.0,,,,,
,48.23,3400,0.55,1.09,5.97,48.47,4.40,6.25,0.55,0.0,,,,,
,48.73,3360,0.50,1.09,5.83,49.00,4.40,6.25,0.55,0.0,,,,,
,49.26,3280,0.50,1.09,5.69,49.54,4.45,6.25,0.50,0.0,,,,,
,49.79,3240,0.50,1.09,5.56,50.05,4.50,6.25,0.50,0.0,,,,,
,50.30,3200,0.50,1.02,5.56,50.56,4.50,6.25,0.50,0.0,,,,,
,50.82,3160,0.50,1.02,5.34,51.09,4.50,6.25,0.50,0.0,,,,,
,51.35,3080,0.50,1.02,5.28,51.60,4.55,6.25,0.50,0.0,,,,,
,51.87,3040,0.50,1.09,5.21,52.13,4.60,6.25,0.50,0.0,,,,,
,52.38,3000,0.50,1.09,5.14,52.63,4.60,6.25,0.50,0.0,,,,,
,52.88,2960,0.50,1.09,5.07,53.13,4.60,6.25,0.50,0.0,,,,,
,53.39,2920,0.50,1.09,4.93,53.65,4.65,6.25,0.50,0.0,,,,,
,53.92,2880,0.50,1.09,4.86,54.18,4.65,6.25,0.50,0.0,,,,,
,54.44,2800,0.50,1.09,4.86,54.69,4.65,6.25,0.50,0.0,,,,,
,54.95,2760,0.50,1.09,4.72,55.21,4.70,6.25,0.50,0.0,,,,,
,55.46,2720,0.50,1.09,4.72,55.72,4.70,6.25,0.50,0.0,,,,,
,55.98,2680,0.50,1.09,4.65,56.24,4.75,6.25,0.50,0.0,,,,,
,56.49,2640,0.50,1.09,4.51,56.74,4.75,6.25,0.50,0.0,,,,,
,56.99,2600,0.50,1.09,4.44,57.25,4.75,6.25,0.50,0.0,,,,,
,57.51,2520,0.50,1.09,4.31,57.77,4.80,6.25,0.50,0.0,,,,,
,58.02,2480,0.50,1.09,4.23,58.27,4.80,6.25,0.50,0.0,,,,,
,58.53,2440,0.50,1.09,4.17,58.79,4.80,6.25,0.50,0.0,,,,,
,59.06,2400,0.50,1.09,4.09,59.32,4.80,6.25,0.50,0.0,,,,,
,59.59,2360,0.55,1.22,4.37,59.85,4.85,6.25,0.55,0.0,,,,,
,60.10,2320,0.55,1.15,4.23,60.35,4.85,6.25,0.55,0.0,,,,,
,60.60,2280,0.55,1.22,4.23,60.85,4.85,6.25,0.55,0.0,,,,,
,61.11,2240,0.55,1.22,4.17,61.37,4.90,6.25,0.55,0.0,,,,,
,61.63,2200,0.55,1.22,4.03,61.88,4.90,6.25,0.55,0.0,,,,,
,62.14,2160,0.55,1.22,3.96,62.40,4.95,6.25,0.55,0.0,,,,,
,62.67,2120,0.55,1.22,3.96,62.93,4.95,6.25,0.55,0.0,,,,,
,63.18,2080,0.60,1.28,3.96,63.45,4.95,6.25,0.60,0.0,,,,,
,63.71,2040,0.55,1.22,3.82,63.96,5.00,6.25,0.55,0.0,,,,,
,64.21,2000,0.55,1.22,3.68,64.47,5.00,6.25,0.55,0.0,,,,,
,64.73,1960,0.55,1.22,3.61,64.99,5.05,6.25,0.55,0.0,,,,,
,65.24,1880,0.55,1.22,3.47,65.49,5.05,6.25,0.55,0.0,,,,,
,65.75,1880,0.55,1.28,3.54,66.01,5.10,6.25,0.55,0.0,,,,,
,66.28,1800,0.55,1.22,3.40,66.54,5.10,6.25,0.55,0.0,,,,,
,66.81,1800,0.55,1.22,3.33,67.07,5.10,6.25,0.55,0.0,,,,,
,67.32,1760,0.60,1.28,3.33,67.57,5.10,6.25,0.55,0.0,,,,,
,67.83,1720,0.55,1.28,3.26,68.09,5.05,6.25,0.55,0.0,,,,,
,68.35,1680,0.60,1.28,3.19,68.60,5.05,6.25,0.60,0.0,,,,,
,68.86,1640,0.60,1.34,3.19,69.12,5.05,6.25,0.60,0.0,,,,,
,69.37,1600,0.60,1.34,3.12,69.64,5.00,6.25,0.60,0.0,,,,,
,69.90,1560,0.60,1.28,2.98,70.17,5.00,6.25,0.60,0.0,,,,,
,70.44,1520,0.60,1.34,2.98,70.70,5.00,6.25,0.60,0.0,,,,,
,70.96,1480,0.60,1.28,2.84,71.21,4.95,6.25,0.60,0.0,,,,,
,71.46,1440,0.60,1.34,2.78,71.71,4.95,6.25,0.60,0.0,,,,,
,71.96,1400,0.60,1.41,2.78,72.22,4.90,6.25,0.60,0.0,,,,,
,72.48,1400,0.60,1.41,2.71,72.75,4.90,6.25,0.60,0.0,,,,,
,73.01,1360,0.60,1.47,2.64,73.28,4.90,6.25,0.60,0.0,,,,,
,73.54,1320,0.60,1.47,2.64,73.81,4.85,6.25,0.60,0.0,,,,,
,74.07,1280,0.60,1.47,2.57,74.33,4.85,6.25,0.60,0.0,,,,,
,74.59,1280,0.60,1.47,2.57,74.86,4.85,6.25,0.60,0.0,,,,,
