Sunday,01,March,2020,18:23:14:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,,

,Group A:,'002,,,,Group B:,'007,,,,Group C:, Not Running
,,Idle speed,Engine load,Inj. period,Air mass in,,Lambda reg,Probe volts,Valve duty,Correction,,,,,
,37.52,4040,0.55,1.09,7.01,37.26,0.0,0.010,0.0,1.00,,,,,
,38.05,3960,0.55,1.09,7.01,37.78,0.0,0.010,0.0,1.00,,,,,
,38.56,3920,0.50,1.09,6.73,38.30,0.0,0.010,0.0,1.00,,,,,
,39.07,3880,0.50,1.02,6.67,38.81,0.0,0.010,0.0,1.00,,,,,
,39.59,3800,0.55,1.09,6.67,39.32,0.0,0.010,0.0,1.00,,,,,
,40.12,3760,0.50,1.09,6.46,39.86,0.0,0.010,0.0,1.00,,,,,
,40.64,3680,0.50,1.09,6.39,40.38,0.0,0.010,0.0,1.00,,,,,
,41.15,3640,0.50,1.09,6.25,40.89,0.0,0.010,0.0,1.00,,,,,
,41.65,3600,0.50,1.02,6.11,41.40,0.0,0.010,0.0,1.00,,,,,
,42.18,3520,0.50,1.02,6.04,41.91,0.0,0.010,0.0,1.00,,,,,
,42.72,3480,0.50,1.09,5.97,42.44,0.0,0.010,0.0,1.00,,,,,
,43.24,3440,0.50,1.02,5.83,42.98,0.0,0.010,0.0,1.00,,,,,
,43.75,3400,0.50,1.09,5.83,43.50,0.0,0.010,0.0,1.00,,,,,
,44.26,3320,0.50,1.02,5.62,44.00,0.0,0.010,0.0,1.00,,,,,
,44.78,3280,0.50,1.09,5.56,44.52,0.0,0.010,0.0,1.00,,,,,
,45.28,3240,0.50,1.02,5.48,45.03,0.0,0.010,0.0,1.00,,,,,
,45.80,3200,0.50,1.02,5.42,45.54,0.0,0.010,0.0,1.00,,,,,
,46.31,3160,0.50,1.02,5.28,46.06,0.0,0.010,0.0,1.00,,,,,
,46.83,3080,0.50,1.02,5.14,46.57,0.0,0.010,0.0,1.00,,,,,
,47.36,3040,0.50,1.02,5.07,47.10,0.0,0.010,0.0,1.00,,,,,
,47.86,3000,0.50,1.02,5.00,47.61,0.0,0.010,0.0,1.00,,,,,
,48.38,2960,0.50,1.02,4.86,48.12,0.0,0.010,0.0,1.00,,,,,
,48.91,2880,0.50,1.09,4.79,48.65,0.0,0.010,0.0,1.00,,,,,
,49.45,2840,0.50,1.02,4.79,49.18,0.0,0.010,0.0,1.00,,,,,
,49.98,2800,0.50,1.02,4.65,49.71,0.0,0.010,0.0,1.00,,,,,
,50.51,2760,0.50,1.02,4.51,50.24,0.0,0.010,0.0,1.00,,,,,
,51.03,2720,0.50,1.02,4.44,50.77,0.0,0.010,0.0,1.00,,,,,
,51.53,2680,0.50,1.02,4.44,51.28,0.0,0.010,0.0,1.00,,,,,
,52.05,2640,0.50,1.02,4.37,51.79,0.0,0.010,0.0,1.00,,,,,
,52.57,2560,0.50,1.02,4.23,52.31,0.0,0.010,0.0,1.00,,,,,
,53.10,2520,0.50,1.02,4.17,52.83,0.0,0.010,0.0,1.00,,,,,
,53.62,2480,0.50,1.09,4.09,53.36,0.0,0.010,0.0,1.00,,,,,
,54.15,2440,0.50,1.02,3.96,53.88,0.0,0.010,0.0,1.00,,,,,
,54.68,2400,0.50,1.02,3.89,54.41,0.0,0.010,0.0,1.00,,,,,
,55.21,2360,0.55,1.15,4.17,54.94,0.0,0.010,0.0,1.00,,,,,
,55.72,2320,0.50,1.09,4.03,55.47,0.0,0.010,0.0,1.00,,,,,
,56.22,2280,0.55,1.15,3.96,55.97,0.0,0.010,0.0,1.00,,,,,
,56.73,2240,0.55,1.15,3.96,56.47,0.0,0.010,0.0,1.00,,,,,
,57.26,2200,0.55,1.15,3.89,56.99,0.0,0.010,0.0,1.00,,,,,
,57.79,2160,0.55,1.15,3.82,57.52,0.0,0.010,0.0,1.00,,,,,
,58.32,2120,0.55,1.15,3.82,58.05,0.0,0.010,0.0,1.00,,,,,
,58.83,2080,0.55,1.15,3.82,58.58,0.0,0.010,0.0,1.00,,,,,
,59.34,2040,0.55,1.15,3.68,59.08,0.0,0.010,0.0,1.00,,,,,
,59.87,2000,0.55,1.22,3.61,59.60,0.0,0.010,0.0,1.00,,,,,
,60.39,1960,0.55,1.15,3.47,60.13,0.0,0.010,0.0,1.00,,,,,
,60.90,1920,0.55,1.15,3.40,60.64,0.0,0.010,0.0,1.00,,,,,
,61.43,1880,0.55,1.22,3.40,61.16,0.0,0.010,0.0,1.00,,,,,
,61.95,1840,0.55,1.15,3.26,61.69,0.0,0.010,0.0,1.00,,,,,
,62.46,1800,0.55,1.22,3.26,62.20,0.0,0.010,0.0,1.00,,,,,
,62.98,1760,0.55,1.22,3.19,62.72,0.0,0.010,0.0,1.00,,,,,
,63.50,1720,0.55,1.22,3.12,63.24,0.0,0.010,0.0,1.00,,,,,
,64.00,1680,0.55,1.28,3.12,63.75,0.0,0.010,0.0,1.00,,,,,
,64.53,1640,0.55,1.28,3.06,64.26,0.0,0.010,0.0,1.00,,,,,
,65.05,1600,0.55,1.22,2.98,64.79,0.0,0.010,0.0,1.00,,,,,
,65.57,1560,0.55,1.28,2.92,65.31,0.0,0.010,0.0,1.00,,,,,
,66.10,1520,0.55,1.28,2.92,65.84,0.0,0.010,0.0,1.00,,,,,
,66.61,1520,0.60,1.28,2.84,66.36,0.0,0.010,0.0,1.00,,,,,
,67.12,1480,0.60,1.34,2.84,66.86,0.0,0.010,0.0,1.00,,,,,
,67.65,1440,0.60,1.34,2.78,67.38,0.0,0.010,0.0,1.00,,,,,
,68.18,1400,0.60,1.47,2.78,67.91,0.0,0.010,0.0,1.00,,,,,
,68.69,1360,0.60,1.34,2.57,68.44,0.0,0.010,0.0,1.00,,,,,
