Sunday,01,March,2020,18:15:26:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D06,

,Group A:,'001,,,,Group B:,'013,,,,Group C:, Not Running
,,Idle speed,Engine load,Throttle ang,Ignition ang,,Knock Reg.,Knock Reg.,Knock Reg.,Knock Reg.,,,,,
,19.91,5840,6.70,77.3,21.8,19.64,0.0,0.0,0.0,3.0,,,,,
,20.42,5960,6.60,76.8,24.0,20.17,0.0,0.0,0.0,3.0,,,,,
,20.94,6000,6.55,77.3,24.0,20.67,0.0,0.0,0.0,3.0,,,,,
,21.46,6080,6.45,76.8,24.8,21.20,0.0,0.0,0.0,3.0,,,,,
,21.98,6120,6.40,77.3,24.0,21.72,0.0,0.0,0.0,1.5,,,,,
,22.48,6240,6.35,76.8,24.8,22.23,0.0,0.0,0.0,0.7,,,,,
,22.99,6040,0.90,14.8,33.0,22.73,0.0,0.0,0.0,0.0,,,,,
,23.50,6080,0.65,14.8,33.0,23.25,0.0,0.0,0.0,0.0,,,,,
,24.02,5960,0.65,14.8,33.0,23.76,0.0,0.0,0.0,0.0,,,,,
,24.55,5880,0.65,14.3,33.0,24.29,0.0,0.0,0.0,0.0,,,,,
,25.08,5760,0.65,14.3,33.0,24.82,0.0,0.0,0.0,0.0,,,,,
,25.61,5720,0.60,14.3,33.0,25.35,0.0,0.0,0.0,0.0,,,,,
,26.12,5640,0.60,13.9,33.0,25.86,0.0,0.0,0.0,0.0,,,,,
,26.64,5560,0.60,13.9,33.0,26.38,0.0,0.0,0.0,0.0,,,,,
,27.16,5480,0.60,13.5,33.0,26.89,0.0,0.0,0.0,0.0,,,,,
,27.67,5400,0.60,13.5,33.0,27.42,0.0,0.0,0.0,0.0,,,,,
,28.19,5320,0.60,13.0,33.0,27.93,0.0,0.0,0.0,0.0,,,,,
,28.72,5240,0.60,13.0,33.0,28.46,0.0,0.0,0.0,0.0,,,,,
,29.26,5160,0.60,12.6,33.0,28.99,0.0,0.0,0.0,0.0,,,,,
,29.79,5120,0.60,12.6,33.0,29.52,0.0,0.0,0.0,0.0,,,,,
,30.32,5040,0.60,12.2,33.0,30.05,0.0,0.0,0.0,0.0,,,,,
,30.85,4960,0.60,12.2,33.0,30.58,0.0,0.0,0.0,0.0,,,,,
,31.38,4920,0.55,12.2,33.0,31.11,0.0,0.0,0.0,0.0,,,,,
,31.90,4840,0.55,11.7,33.0,31.64,0.0,0.0,0.0,0.0,,,,,
,32.43,4760,0.55,11.7,33.0,32.16,0.0,0.0,0.0,0.0,,,,,
,32.96,4680,0.55,11.7,33.0,32.69,0.0,0.0,0.0,0.0,,,,,
,33.48,4640,0.55,11.3,33.0,33.22,0.0,0.0,0.0,0.0,,,,,
,34.01,4560,0.55,11.3,33.0,33.75,0.0,0.0,0.0,0.0,,,,,
,34.53,4480,0.55,11.3,33.0,34.27,0.0,0.0,0.0,0.0,,,,,
,35.03,4440,0.55,10.9,33.0,34.78,0.0,0.0,0.0,0.0,,,,,
,35.53,4360,0.55,10.9,33.0,35.28,0.0,0.0,0.0,0.0,,,,,
,36.05,4320,0.55,10.9,33.0,35.79,0.0,0.0,0.0,0.0,,,,,
,36.57,4240,0.55,10.4,33.0,36.31,0.0,0.0,0.0,0.0,,,,,
,37.10,4200,0.55,10.4,33.0,36.84,0.0,0.0,0.0,0.0,,,,,
,37.61,4120,0.55,10.4,33.0,37.36,0.0,0.0,0.0,0.0,,,,,
,38.11,4080,0.55,10.0,33.0,37.86,0.0,0.0,0.0,0.0,,,,,
,38.63,4000,0.55,10.0,33.0,38.37,0.0,0.0,0.0,0.0,,,,,
,39.16,3960,0.55,9.5,33.0,38.90,0.0,0.0,0.0,0.0,,,,,
,39.69,3880,0.55,9.5,33.0,39.42,0.0,0.0,0.0,0.0,,,,,
,40.22,3840,0.50,9.5,33.0,39.96,0.0,0.0,0.0,0.0,,,,,
,40.73,3760,0.50,9.1,33.0,40.47,0.0,0.0,0.0,0.0,,,,,
,41.25,3720,0.50,9.1,33.0,40.98,0.0,0.0,0.0,0.0,,,,,
,41.77,3680,0.50,8.7,33.0,41.51,0.0,0.0,0.0,0.0,,,,,
,42.28,3600,0.50,8.7,33.0,42.03,0.0,0.0,0.0,0.0,,,,,
,42.79,3560,0.50,8.7,33.0,42.53,0.0,0.0,0.0,0.0,,,,,
,43.31,3480,0.50,8.2,33.0,43.05,0.0,0.0,0.0,0.0,,,,,
,43.83,3440,0.50,8.2,32.3,43.57,0.0,0.0,0.0,0.0,,,,,
,44.36,3400,0.50,8.2,31.5,44.10,0.0,0.0,0.0,0.0,,,,,
,44.86,3320,0.50,8.2,30.8,44.60,0.0,0.0,0.0,0.0,,,,,
,45.37,3280,0.50,7.8,30.8,45.11,0.0,0.0,0.0,0.0,,,,,
,45.91,3240,0.50,7.8,30.0,45.65,0.0,0.0,0.0,0.0,,,,,
,46.44,3160,0.50,7.8,29.3,46.18,0.0,0.0,0.0,0.0,,,,,
,46.96,3120,0.50,7.4,29.3,46.69,0.0,0.0,0.0,0.0,,,,,
,47.48,3080,0.50,7.4,28.5,47.23,0.0,0.0,0.0,0.0,,,,,
,48.02,3000,0.50,7.4,27.8,47.75,0.0,0.0,0.0,0.0,,,,,
,48.54,2960,0.50,6.9,27.8,48.28,0.0,0.0,0.0,0.0,,,,,
,49.07,2920,0.50,6.9,27.0,48.80,0.0,0.0,0.0,0.0,,,,,
,49.60,2880,0.50,6.9,26.3,49.33,0.0,0.0,0.0,0.0,,,,,
,50.12,2800,0.50,6.5,26.3,49.85,0.0,0.0,0.0,0.0,,,,,
,50.65,2760,0.50,6.5,25.5,50.38,0.0,0.0,0.0,0.0,,,,,
,51.25,2680,0.50,6.5,25.5,50.92,0.0,0.0,0.0,0.0,,,,,
,51.76,2640,0.50,6.5,24.8,51.50,0.0,0.0,0.0,0.0,,,,,
,52.28,2600,0.50,6.1,24.0,52.02,0.0,0.0,0.0,0.0,,,,,
,52.82,2560,0.50,6.1,24.0,52.55,0.0,0.0,0.0,0.0,,,,,
,53.33,2480,0.50,6.1,23.3,53.08,0.0,0.0,0.0,0.0,,,,,
,53.82,2440,0.50,5.6,23.3,53.57,0.0,0.0,0.0,0.0,,,,,
,54.33,2400,0.50,6.1,22.5,54.07,0.0,0.0,0.0,0.0,,,,,
,54.87,2360,0.55,6.1,22.5,54.60,0.0,0.0,0.0,0.0,,,,,
,55.39,2280,0.55,6.1,21.8,55.12,0.0,0.0,0.0,0.0,,,,,
,55.91,2240,0.55,5.6,21.8,55.66,0.0,0.0,0.0,0.0,,,,,
,56.42,2200,0.55,5.6,21.0,56.17,0.0,0.0,0.0,0.0,,,,,
,56.93,2160,0.50,5.2,21.0,56.68,0.0,0.0,0.0,0.0,,,,,
,57.43,2080,0.55,5.6,20.3,57.19,0.0,0.0,0.0,0.0,,,,,
,57.95,2040,0.55,5.2,20.3,57.69,0.0,0.0,0.0,0.0,,,,,
,58.49,2000,0.55,5.2,20.3,58.22,0.0,0.0,0.0,0.0,,,,,
,59.02,1960,0.55,5.2,19.5,58.75,0.0,0.0,0.0,0.0,,,,,
,59.55,1880,0.55,4.8,18.8,59.28,0.0,0.0,0.0,0.0,,,,,
,60.08,1840,0.55,4.8,18.8,59.81,0.0,0.0,0.0,0.0,,,,,
,60.61,1800,0.55,4.8,18.0,60.34,0.0,0.0,0.0,0.0,,,,,
,61.14,1760,0.55,4.8,18.0,60.87,0.0,0.0,0.0,0.0,,,,,
,61.65,1680,0.55,4.8,17.3,61.40,0.0,0.0,0.0,0.0,,,,,
,62.19,1640,0.55,4.8,16.5,61.92,0.0,0.0,0.0,0.0,,,,,
,62.71,1600,0.55,4.3,16.5,62.45,0.0,0.0,0.0,0.0,,,,,
,63.21,1560,0.55,4.3,15.8,62.96,0.0,0.0,0.0,0.0,,,,,
,63.73,1480,0.55,4.3,15.8,63.47,0.0,0.0,0.0,0.0,,,,,
,64.27,1480,0.55,4.3,-3.0,64.00,0.0,0.0,0.0,0.0,,,,,
,64.79,1400,0.55,3.9,8.3,64.53,0.0,0.0,0.0,0.0,,,,,
,65.29,1400,0.55,3.9,9.8,65.04,0.0,0.0,0.0,0.0,,,,,
,65.81,1360,0.60,3.9,9.8,65.55,0.0,0.0,0.0,0.0,,,,,
,66.34,1280,0.60,3.9,9.8,66.08,0.0,0.0,0.0,0.0,,,,,
,66.85,1240,0.60,3.9,10.5,66.60,0.0,0.0,0.0,0.0,,,,,
,67.35,1240,0.90,6.5,13.5,67.10,0.0,0.0,0.0,0.0,,,,,
,67.86,1200,1.30,9.1,18.0,67.60,0.0,0.0,0.0,0.0,,,,,
,68.39,1200,1.90,11.7,22.5,68.12,0.0,0.0,0.0,0.0,,,,,
