Sunday,25,August,2019,12:52:12:65217,VCDS Version: Release 12.12.0,Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D03,

,Group A:,'002,,,,Group B:,'025,,,,Group C:, Not Running
,,Idle speed,Engine load,Inj. period,Air mass in,,Spec. load,Load correc.,Actual load,Valve cycle,,,,,
,7.65,2600,6.70,13.70,55.56,7.91,7.10,7.10,6.55,77.7,,,,,
,8.16,2640,6.80,13.95,57.29,8.41,7.10,7.05,6.70,76.6,,,,,
,8.67,2680,6.80,13.89,58.47,8.92,7.15,7.05,6.95,77.3,,,,,
,9.17,2680,6.75,13.57,57.98,9.42,7.10,7.05,6.95,78.1,,,,,
,9.67,2680,6.95,14.34,60.00,9.92,7.10,7.05,7.00,79.3,,,,,
,10.17,2680,6.95,14.27,59.31,10.42,7.05,7.05,7.05,79.7,,,,,
,10.67,2680,7.00,14.40,60.00,10.92,7.10,7.05,6.80,80.1,,,,,
,11.17,2720,6.90,14.08,59.72,11.42,7.10,7.00,7.00,79.7,,,,,
,11.68,2680,7.05,15.23,60.14,11.93,7.05,7.00,7.15,78.9,,,,,
,12.18,2720,7.05,15.23,61.18,12.43,7.05,7.00,7.05,77.7,,,,,
,12.68,2720,6.85,14.40,59.09,12.93,7.05,7.00,7.25,77.7,,,,,
,13.18,2800,6.85,14.85,61.39,13.43,7.05,7.00,7.15,77.3,,,,,
,13.68,2840,6.85,15.10,62.15,13.93,7.00,7.00,7.05,77.0,,,,,
,14.18,2800,7.05,15.74,62.92,14.43,7.00,7.00,6.75,77.3,,,,,
,14.68,2800,7.05,15.42,63.19,14.93,7.00,6.95,6.85,77.0,,,,,
,15.18,2840,7.05,15.55,63.89,15.43,6.95,6.95,6.90,76.6,,,,,
,15.68,2880,6.95,15.49,63.96,15.94,6.95,6.90,6.95,76.6,,,,,
,16.19,2920,6.95,15.10,64.65,16.44,6.95,6.90,6.90,75.4,,,,,
,16.70,2880,6.95,14.40,63.75,16.96,6.95,6.90,6.90,75.8,,,,,
,17.22,3000,6.85,14.91,66.11,17.47,6.95,6.90,6.95,75.8,,,,,
,17.72,3040,6.80,14.91,66.04,17.97,6.95,6.90,6.90,75.8,,,,,
,18.23,3040,6.85,14.98,66.53,18.50,6.95,6.90,6.90,76.2,,,,,
,18.75,3040,6.95,15.30,67.84,19.00,6.95,6.90,6.95,75.4,,,,,
,19.25,3120,6.85,15.10,68.33,19.50,6.95,6.90,6.90,75.0,,,,,
,19.75,3120,7.00,15.55,70.14,20.00,6.95,6.90,6.95,73.8,,,,,
,20.25,3200,6.80,14.91,70.07,20.50,6.95,6.90,6.85,75.0,,,,,
,20.75,3240,6.75,14.72,69.51,21.00,6.95,6.90,6.85,76.6,,,,,
,21.25,3280,6.80,15.17,71.32,21.51,6.95,6.90,6.95,76.2,,,,,
,21.76,3320,6.90,15.55,72.78,22.01,6.95,6.90,7.00,75.8,,,,,
,22.26,3400,6.80,15.68,73.96,22.51,6.95,6.90,7.05,75.0,,,,,
,22.76,3440,6.80,15.55,74.65,23.01,6.95,6.90,6.95,75.0,,,,,
,23.26,3480,6.90,16.13,76.67,23.51,6.95,6.90,6.95,75.0,,,,,
,23.76,3480,6.95,16.32,77.64,24.01,6.95,6.90,6.90,73.8,,,,,
,24.26,3520,7.00,16.19,78.33,24.52,6.95,6.90,6.85,73.8,,,,,
,24.77,3600,6.95,16.00,79.65,25.02,6.95,6.90,7.00,74.2,,,,,
,25.27,3720,6.95,16.32,82.36,25.52,6.95,6.90,6.95,73.0,,,,,
,25.77,3760,6.85,15.94,81.59,26.02,6.95,6.90,6.90,74.6,,,,,
,26.27,3800,7.05,16.32,84.86,26.52,6.95,6.90,6.95,73.8,,,,,
,26.77,3840,6.95,16.32,85.97,27.02,6.95,6.90,6.90,73.8,,,,,
,27.27,3920,6.90,16.13,86.11,27.52,6.95,6.90,6.90,74.6,,,,,
,27.77,3960,7.00,16.32,88.75,28.03,6.95,6.90,6.90,74.2,,,,,
,28.27,4080,6.95,16.32,90.56,28.53,6.95,6.90,6.90,74.6,,,,,
,28.79,4160,6.95,16.32,91.87,29.05,6.95,6.90,6.90,73.4,,,,,
,29.30,4160,6.85,16.19,91.25,29.55,6.95,6.90,6.90,75.4,,,,,
,29.81,4240,7.00,16.32,95.14,30.06,6.95,6.90,6.95,73.8,,,,,
,30.31,4320,6.90,16.32,95.28,30.56,6.95,6.90,6.85,75.0,,,,,
,30.81,4400,6.90,16.32,96.46,31.06,6.95,6.90,6.85,77.3,,,,,
,31.31,4440,7.00,16.32,99.31,31.56,6.95,6.90,6.95,76.6,,,,,
,31.81,4520,6.90,16.32,100.07,32.05,7.00,6.95,6.95,77.7,,,,,
,32.31,4600,6.90,16.32,100.97,32.56,7.00,6.95,6.95,78.9,,,,,
,32.83,4640,6.95,16.32,102.57,33.09,7.00,6.95,7.00,77.7,,,,,
,33.34,4680,6.95,16.32,103.75,33.60,7.00,6.95,6.90,77.7,,,,,
,33.85,4760,6.95,16.32,105.34,34.10,7.00,6.95,7.00,78.9,,,,,
,34.35,4800,7.05,16.32,107.84,34.60,7.00,6.95,7.05,78.1,,,,,
,34.85,4880,7.00,16.32,108.75,35.10,7.00,6.95,7.00,77.7,,,,,
,35.35,4920,6.95,16.32,109.09,35.60,7.00,6.95,6.95,78.1,,,,,
,35.85,4960,7.00,16.32,110.90,36.10,7.05,6.95,7.00,77.7,,,,,
,36.35,5040,6.95,16.32,110.97,36.60,7.00,6.95,7.05,77.3,,,,,
,36.85,5080,6.95,16.32,112.50,37.11,7.00,6.95,6.95,78.5,,,,,
,37.36,5120,7.00,16.32,114.44,37.61,6.95,6.95,6.95,77.3,,,,,
,37.86,5160,6.95,16.32,114.86,38.11,6.95,6.90,6.90,77.3,,,,,
,38.36,5240,6.90,16.32,116.04,38.61,6.95,6.90,6.95,76.2,,,,,
,38.86,5320,6.80,16.32,115.48,39.11,6.90,6.90,6.80,77.0,,,,,
,39.36,5360,6.80,16.32,116.59,39.61,6.90,6.85,6.85,78.5,,,,,
,39.86,5440,7.05,16.32,122.08,40.11,6.90,6.85,7.05,77.0,,,,,
,40.36,5480,6.95,16.32,121.39,40.62,6.90,6.85,6.85,75.8,,,,,
,40.87,5560,6.85,16.32,121.18,41.12,6.80,6.80,6.85,75.0,,,,,
,41.37,5600,6.85,16.32,122.29,41.62,6.80,6.75,6.80,73.0,,,,,
,41.87,5680,6.65,16.32,120.62,42.12,6.75,6.70,6.65,75.4,,,,,
,42.37,5720,6.80,16.32,123.40,42.62,6.70,6.70,6.70,72.7,,,,,
,42.87,5760,6.65,16.32,122.08,43.12,6.70,6.65,6.60,74.2,,,,,
,43.37,5800,6.65,16.32,123.54,43.63,6.65,6.60,6.65,73.4,,,,,
